"course_name","course_rating","course_provider","course_review_num","course_terms"
"Introduction to Environmental Science",10,"edX","231","introduct to environment scienc"
"Design: Creation of Artifacts in Society",10,"Coursera","217","design creation of artifact in societi"
"How I Make $4000 A Week From Udemy Courses With No Marketing",10,"Udemy","180","how i make a week from udemi cours with no market"
"JavaScript Basics",10,"Treehouse","198","javascript basic"
"An Introduction to Interactive Programming in Python",10,"Coursera","2780","an introduct to interact program in python"
"The Science of the Solar System",10,"Coursera","255","the scienc of the solar system"
"Accounting in 60 Minutes - A Brief Introduction",10,"Udemy","234","account in minut a brief introduct"
"The Science of Everyday Thinking",10,"edX","1033","the scienc of everyday think"
"The Complete iOS8 and Swift Course: Learn by Building 15 Real World Apps",10,"Udemy","574","the complet io and swift cours learn by build real world app"
"The Complete Web Developer Course - Build 14 Websites",10,"Udemy","1409","the complet web develop cours build websit"
"Create amazing videos that mesmerize your viewers instantly!",10,"Udemy","130","creat amaz video that mesmer your viewer instant"
"Learn Photoshop, Web Design & Profitable Freelancing",10,"Udemy","113","learn photoshop web design profit freelanc"
"Becoming A Writer",10,"Udemy","116","becom a writer"
"The Million Dollar Screenwriter!",10,"Udemy","122","the million dollar screenwrit"
"Excel Best Practices: How to Become an Excel Expert",10,"Udemy","110","excel best practic how to becom an excel expert"
"Social Smartness 2.1",10,"Udemy","110","social smart"
"Modern & Contemporary American Poetry",10,"Coursera","170","modern contemporari american poetri"
"Build a Website from Scratch with HTML & CSS",10,"Udemy","146","build a websit from scratch with html css"
"CCNA 2015 200-120 Video Boot Camp With Chris Bryant",10,"Udemy","159","ccna video boot camp with chris bryant"
"How I Make $2000 A Month On YouTube - And No Filming",10,"Udemy","139","how i make a month on youtub and no film"
"Financial Modeling: How to Build a Complete Model with Excel",10,"Udemy","91","financi model how to build a complet model with excel"
"ITIL 2011 Foundation Training",10,"Udemy","107","itil foundat train"
"How to Design a Logo - a Beginners Course",10,"Udemy","97","how to design a logo a beginn cours"
"Speed Reading Work/Leisure. Read 33%+ Faster or Money  Back.",10,"Udemy","102","speed read work leisur read faster or money back"
"Learn Close Combat Training: Military Hand-To-Hand Combat",10,"Udemy","87","learn close combat train militari hand to hand combat"
"Photoshop CS6 Crash Course",10,"Udemy","87","photoshop cs crash cours"
"The COMPLETE Crowdfunding Launch Formula For $100k Campaigns",10,"Udemy","100","the complet crowdfund launch formula for k campaign"
"Creative Real Estate Investing & Flipping Houses",10,"Udemy","106","creativ real estat invest flip hous"
"Merger Bundle: Crack Excel with Modeling & Best Practices",10,"Udemy","103","merger bundl crack excel with model best practic"
"Podcast: The top 8 ways to monetize by Podcasting",10,"Udemy","106","podcast the top way to monet by podcast"
"SEO Secrets ♚ Make More Money From FREE Google Traffic ✓",10,"Udemy","85","seo secret make more money from free googl traffic"
"How to Be A Human Lie Detector",10,"Udemy","78","how to be a human lie detector"
"Learn and Understand AngularJS",10,"Udemy","79","learn and understand angularj"
"Crash Course: Fundamentals Of HTML & CSS From Scratch.",10,"Udemy","83","crash cours fundament of html css from scratch"
"Java Objects",10,"Treehouse","78","java object"
"Comic Books and Graphic Novels",10,"Coursera","75","comic book and graphic novel"
"Merger Modeling: How to Build a Complete Model with Excel",10,"Udemy","75","merger model how to build a complet model with excel"
"Accounting: Get Hired Without Work Experience",10,"Udemy","83","account get hire without work"
"Crack Cold Emailing to Increase Sales and Grow Your Business",10,"Udemy","84","crack cold email to increas sale and grow your busi"
"Approaching and Talking to Women: For Beginners",10,"Udemy","83","approach and talk to women for beginn"
"How To Become a Bestselling Author on Amazon Kindle",10,"Udemy","70","how to becom a bestsel author on amazon kindl"
"SEO: GoogleBoost startup - how I get 1,000 visitors a day",10,"Udemy","74","seo googleboost startup how i get visitor a day"
"BA_106: مبادئ إدارة الموارد البشرية",10,"Edraak","69","ba"
"HTML5 Part 1: HTML5 Coding Essentials and Best Practices",10,"edX","70","html part html code essenti and best practic"
"Photography - Become a Better Photographer - Part I",10,"Udemy","70","photographi becom a better photograph part i"
"The Java Spring Tutorial: Learn Java's Popular Web Framework",10,"Udemy","69","the java spring tutori learn java s popular web framework"
"Financial Statements Made Easy",10,"Udemy","69","financi statement made easi"
"Become a SuperLearner: Learn Speed Reading & Advanced Memory",10,"Udemy","72","becom a superlearn learn speed read advanc memori"
"Practical time management for busy people",10,"Udemy","73","practic time manag for busi peopl"
"Novel Writing Workshop",10,"Udemy","71","novel write workshop"
"Excel Mastery Course Part 1 of 5: Calculate",10,"Udemy","68","excel masteri cours part of calcul"
"Copyright Basics: How to Protect Your Work from Piracy",10,"Udemy","67","copyright basic how to protect your work from piraci"
"How To Build High-Quality Relationships That Last",10,"Udemy","65","how to build high qualiti relationship that last"
"Java Basics",10,"Treehouse","65","java basic"
"Publish Your Flappy Bird Clone iPhone Game, EZ & No Coding",10,"Udemy","66","publish your flappi bird clone iphon game ez no code"
"Build habits that last! 1216 students apply this easy system",10,"Udemy","67","build habit that last student appli this easi system"
"Transforming Business, Society, and Self with U.Lab",10,"edX","67","transform busi societi and self with u lab"
"Microsoft Excel 2013 Completo - Mão na Massa!",10,"Udemy","68","microsoft excel completo mão na massa"
"Double Your Udemy Course Sales (In Just 2 Hours!) Guaranteed",10,"Udemy","68","doubl your udemi cours sale in just hour guarante"
"The Art of Black and White Photography",10,"Udemy","67","the art of black and white photographi"
"Excel with Excel Pivot Tables!",10,"Udemy","62","excel with excel pivot tabl"
"Java Swing (GUI) Programming: From Beginner to Expert",10,"Udemy","59","java swing gui program from beginn to expert"
"Build E-commerce website with PHP, MySQL, jQuery and PayPal",10,"Udemy","59","build e commerc websit with php mysql jqueri and paypal"
"Financial Modeling in Excel for Startups",10,"Udemy","58","financi model in excel for startup"
"Facebook Marketing + Ads 2015 for Business and Entrepreneurs",10,"Udemy","60","facebook market ad for busi and entrepreneur"
"Introduction to Biology - The Secret of Life",10,"edX","58","introduct to biolog the secret of life"
"Aprendendo terminal Linux pondo a mão na massa!",10,"Udemy","62","aprendendo termin linux pondo a mão na massa"
"Android Lollipop Tutorials : Make 20 Apps + ONE Live Project",10,"Udemy","62","android lollipop tutori make app one live project"
"Greatest Unsolved Mysteries of the Universe",10,"edX","58","greatest unsolv mysteri of the univers"
"Become a Freelance Copywriter: Make  money from home",10,"Udemy","60","becom a freelanc copywrit make money from home"
"Guitar Lessons - Blues Guitar From Texas To The Delta",10,"Udemy","51","guitar lesson blue guitar from texa to the delta"
"Productivity Hacks: Free Up Your Time & Make More Money Now",10,"Udemy","54","product hack free up your time make more money now"
"Forex Watchers: Trader Program",10,"Udemy","50","forex watcher trader program"
"Create a Website/CMS From Scratch in PHP",10,"Udemy","54","creat a websit cms from scratch in php"
"Justice",10,"edX","58","justic"
"Traffic Secrets: Traffic of 1000's of visitors without SEO",10,"Udemy","54","traffic secret traffic of s of visitor without seo"
"Convert HEX to Decimal in under 30 seconds!",10,"Udemy","51","convert hex to decim in under second"
"Food for Thought",10,"edX","55","food for thought"
"Body Language for Entrepreneurs",10,"Udemy","56","bodi languag for entrepreneur"
"Learn Photoshop in 23 easy to follow real world examples",10,"Udemy","57","learn photoshop in easi to follow real world exampl"
"Writing With Flair: How To Become An Exceptional Writer",10,"Udemy","50","write with flair how to becom an except writer"
"Cómo preparar una tarta Kit Kat con cerditos",10,"Udemy","47","cómo preparar una tarta kit kat con cerdito"
"Learn Financial Modeling from Scratch",10,"Udemy","48","learn financi model from scratch"
"Amazon FBA - Discover How to Earn $1,000s Per Month in 2015!",10,"Udemy","46","amazon fba discov how to earn s per month in"
"Twitter For Business: Attract 200+ Lifelong Customers a Day!",10,"Udemy","48","twitter for busi attract lifelong custom a day"
"Become A Professional Life Coach",10,"Udemy","48","becom a profession life coach"
"Pass the Project Management Professional PMP Exam NOW!",10,"Udemy","47","pass the project manag profession pmp exam now"
"Productivity Strategies to Destroy Your Inner Procrastinator",10,"Udemy","49","product strategi to destroy your inner procrastin"
