course_name,course_rating,course_provider,course_review_num
Introduction to Environmental Science,10,edX,231
Design: Creation of Artifacts in Society,10,Coursera,217
How I Make $4000 A Week From Udemy Courses With No Marketing,10,Udemy,180
JavaScript Basics,10,Treehouse,198
An Introduction to Interactive Programming in Python,10,Coursera,2780
The Science of the Solar System,10,Coursera,255
Accounting in 60 Minutes - A Brief Introduction,10,Udemy,234
The Science of Everyday Thinking,10,edX,1033
The Complete iOS8 and Swift Course: Learn by Building 15 Real World Apps,10,Udemy,574
The Complete Web Developer Course - Build 14 Websites,10,Udemy,1409
Create amazing videos that mesmerize your viewers instantly!,10,Udemy,130
"Learn Photoshop, Web Design & Profitable Freelancing",10,Udemy,113
Becoming A Writer,10,Udemy,116
The Million Dollar Screenwriter!,10,Udemy,122
Excel Best Practices: How to Become an Excel Expert,10,Udemy,110
Social Smartness 2.1,10,Udemy,110
Modern & Contemporary American Poetry,10,Coursera,170
Build a Website from Scratch with HTML & CSS,10,Udemy,146
CCNA 2015 200-120 Video Boot Camp With Chris Bryant,10,Udemy,159
How I Make $2000 A Month On YouTube - And No Filming,10,Udemy,139
Financial Modeling: How to Build a Complete Model with Excel,10,Udemy,91
ITIL 2011 Foundation Training,10,Udemy,107
How to Design a Logo - a Beginners Course,10,Udemy,97
Speed Reading Work/Leisure. Read 33%+ Faster or Money  Back.,10,Udemy,102
Learn Close Combat Training: Military Hand-To-Hand Combat,10,Udemy,87
Photoshop CS6 Crash Course,10,Udemy,87
The COMPLETE Crowdfunding Launch Formula For $100k Campaigns,10,Udemy,100
Creative Real Estate Investing & Flipping Houses,10,Udemy,106
Merger Bundle: Crack Excel with Modeling & Best Practices,10,Udemy,103
Podcast: The top 8 ways to monetize by Podcasting,10,Udemy,106
SEO Secrets ♚ Make More Money From FREE Google Traffic ✓,10,Udemy,85
How to Be A Human Lie Detector,10,Udemy,78
Learn and Understand AngularJS,10,Udemy,79
Crash Course: Fundamentals Of HTML & CSS From Scratch.,10,Udemy,83
Java Objects,10,Treehouse,78
Comic Books and Graphic Novels,10,Coursera,75
Merger Modeling: How to Build a Complete Model with Excel,10,Udemy,75
Accounting: Get Hired Without Work Experience,10,Udemy,83
Crack Cold Emailing to Increase Sales and Grow Your Business,10,Udemy,84
Approaching and Talking to Women: For Beginners,10,Udemy,83
How To Become a Bestselling Author on Amazon Kindle,10,Udemy,70
"SEO: GoogleBoost startup - how I get 1,000 visitors a day",10,Udemy,74
BA_106: مبادئ إدارة الموارد البشرية,10,Edraak,69
HTML5 Part 1: HTML5 Coding Essentials and Best Practices,10,edX,70
Photography - Become a Better Photographer - Part I,10,Udemy,70
The Java Spring Tutorial: Learn Java's Popular Web Framework,10,Udemy,69
Financial Statements Made Easy,10,Udemy,69
Become a SuperLearner: Learn Speed Reading & Advanced Memory,10,Udemy,72
Practical time management for busy people,10,Udemy,73
Novel Writing Workshop,10,Udemy,71
Excel Mastery Course Part 1 of 5: Calculate,10,Udemy,68
Copyright Basics: How to Protect Your Work from Piracy,10,Udemy,67
How To Build High-Quality Relationships That Last,10,Udemy,65
Java Basics,10,Treehouse,65
"Publish Your Flappy Bird Clone iPhone Game, EZ & No Coding",10,Udemy,66
Build habits that last! 1216 students apply this easy system,10,Udemy,67
"Transforming Business, Society, and Self with U.Lab",10,edX,67
Microsoft Excel 2013 Completo - Mão na Massa!,10,Udemy,68
Double Your Udemy Course Sales (In Just 2 Hours!) Guaranteed,10,Udemy,68
The Art of Black and White Photography,10,Udemy,67
Excel with Excel Pivot Tables!,10,Udemy,62
Java Swing (GUI) Programming: From Beginner to Expert,10,Udemy,59
"Build E-commerce website with PHP, MySQL, jQuery and PayPal",10,Udemy,59
Financial Modeling in Excel for Startups,10,Udemy,58
Facebook Marketing + Ads 2015 for Business and Entrepreneurs,10,Udemy,60
Introduction to Biology - The Secret of Life,10,edX,58
Aprendendo terminal Linux pondo a mão na massa!,10,Udemy,62
Android Lollipop Tutorials : Make 20 Apps + ONE Live Project,10,Udemy,62
Greatest Unsolved Mysteries of the Universe,10,edX,58
Become a Freelance Copywriter: Make  money from home,10,Udemy,60
Guitar Lessons - Blues Guitar From Texas To The Delta,10,Udemy,51
Productivity Hacks: Free Up Your Time & Make More Money Now,10,Udemy,54
Forex Watchers: Trader Program,10,Udemy,50
Create a Website/CMS From Scratch in PHP,10,Udemy,54
Justice,10,edX,58
Traffic Secrets: Traffic of 1000's of visitors without SEO,10,Udemy,54
Convert HEX to Decimal in under 30 seconds!,10,Udemy,51
Food for Thought,10,edX,55
Body Language for Entrepreneurs,10,Udemy,56
Learn Photoshop in 23 easy to follow real world examples,10,Udemy,57
Writing With Flair: How To Become An Exceptional Writer,10,Udemy,50
Cómo preparar una tarta Kit Kat con cerditos,10,Udemy,47
Learn Financial Modeling from Scratch,10,Udemy,48
"Amazon FBA - Discover How to Earn $1,000s Per Month in 2015!",10,Udemy,46
Twitter For Business: Attract 200+ Lifelong Customers a Day!,10,Udemy,48
Become A Professional Life Coach,10,Udemy,48
Pass the Project Management Professional PMP Exam NOW!,10,Udemy,47
Productivity Strategies to Destroy Your Inner Procrastinator,10,Udemy,49
Capitalism in Crisis: The global economic crisis explained,10,Udemy,50
"Master Udemy: Plan, Publish and Promote Profitable Courses",10,Udemy,50
The Best Software Testing Training You Will Ever Get,10,Udemy,44
Digging Deeper: Making Manuscripts,10,Stanford Online,45
Facebook Advertising Secrets to 10X Conversions |  [2015],10,Udemy,44
Introduction to Game Localization,10,Udemy,43
How to Learn and Memorize the Vocabulary of Any Language,10,Udemy,44
Learn To Code by Making 2D Games - Complete Unity Developer,10,Udemy,44
Test Your Personality Using The DISC Assessment Tool,10,Udemy,46
1 Hour HTML,10,Udemy,45
